Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
87819,La ciudad de los prodigios,Eduardo Mendoza,"Mendoza, Eduardo",,"=""""","=""""",4,3.89,Círculo de Lectores,Hardcover,429,1987,1986,2016/10/12,2016/04/26,,,read,,,,1,0
256056,Une si longue lettre,Mariama Bâ,"Bâ, Mariama",,"=""2842612892""","=""9782842612894""",3,3.97,Éditions du Rocher,Pocket Book,176,2016,1980,2016/09/04,2016/08/29,,,read,,,,1,0
16283814,Biografía del silencio,Pablo d'Ors,"d'Ors, Pablo",,"=""""","=""9788498418385""",4,4.14,Siruela,Mass Market Paperback,116,2019,2012,2016/08/28,2016/04/21,,,read,,,,1,0
11090792,Don Quijote,Miguel de Cervantes Saavedra,"Saavedra, Miguel de Cervantes",,"=""""","=""""",0,3.89,,Kindle Edition,578,,1605,,2016/08/27,currently-reading,currently-reading (#1),currently-reading,,,,1,0
30182541,Il fu Mattia Pascal,Luigi Pirandello,"Pirandello, Luigi",,"=""""","=""""",0,4.01,Greenbooks Editore,Kindle Edition,173,2016,1904,2016/08/27,2016/05/18,,,read,,,,1,0
1783060,Al faro,Virginia Woolf,"Woolf, Virginia",José Luis López Muñoz,"=""8420655279""","=""9788420655277""",3,3.80,Alianza Editorial,Paperback,241,2006,1927,2016/07/23,2016/06/09,,,read,,,,1,0
2155172,Diario de un emigrante,Miguel Delibes,"Delibes, Miguel",,"=""8423336085""","=""9788423336081""",4,3.86,Booket,Paperback,218,2004,1958,2016/05/18,2016/03/10,,,read,,,,1,0
29264851,Edipo Rey,Sophocles,"Sophocles, Sophocles",,"=""""","=""9788424926397""",4,3.72,Gredos,Paperback,160,2014,-429,2016/04/27,2016/04/25,,,read,,,,1,0
143250,Fontamara,Ignazio Silone,"Silone, Ignazio",,"=""3462025996""","=""9783462025996""",5,3.80,Kiepenheuer & Witsch,Paperback,214,1997,1933,,2016/04/26,,,read,,,,1,0
5297,The Picture of Dorian Gray,Oscar Wilde,"Wilde, Oscar",Jeffrey Eugenides,"=""""","=""""",5,4.12,Random House: Modern Library,Paperback,272,2004,1890,2016/04/21,2016/03/10,,,read,,,,1,0
22904,The Complete Stories,Franz Kafka,"Kafka, Franz","Nahum N. Glatzer, John Updike, Willa Muir, Edwin Muir, Tania Stern, James Stern, Ernst Kaiser, Eithne Wilkins","=""""","=""""",4,4.34,Schocken,Paperback,486,1995,1946,2016/03/18,2016/01/22,,,read,,,,1,0
1258536,Poems of Paul Celan,Paul Celan,"Celan, Paul",Michael Hamburger,"=""0856462659""","=""9780856462658""",0,4.35,Anvil Press Poetry,Hardcover,358,1995,1972,,2016/01/24,to-read,to-read (#3),to-read,,,,0,0
44559,Life is Elsewhere,Milan Kundera,"Kundera, Milan",Aaron Asher,"=""0060997028""","=""9780060997021""",3,3.96,Harper Perennial,Paperback,432,2000,1973,2016/01/01,2016/01/06,,,read,,,,1,0
333538,The Castle,Franz Kafka,"Kafka, Franz",Mark Harman,"=""0805211063""","=""9780805211061""",4,3.94,Schocken,Paperback,316,1998,1926,2015/10/31,2015/10/26,,,read,,,,1,0
80890,Buddenbrooks: The Decline of a Family,Thomas Mann,"Mann, Thomas","Jonas Vaznelis, John E. Woods, T.J. Reed","=""0679417370""","=""9780679417378""",0,4.18,Everyman's Library,Hardcover,731,1994,1901,,2016/01/06,to-read,to-read (#2),to-read,,,,0,0
243381,Berlin Alexanderplatz,Alfred Döblin,"Döblin, Alfred",,"=""3423002956""","=""9783423002950""",0,3.85,Deutscher Taschenbuch Verlag,Paperback,457,2009,1929,,2016/01/06,to-read,to-read (#1),to-read,,,,0,0
18114322,The Grapes of Wrath,John Steinbeck,"Steinbeck, John",,"=""067001690X""","=""9780670016907""",5,4.00,Viking,Hardcover,479,2014,1939,,2015/12/03,,,read,,,,1,0
26114,The Joke,Milan Kundera,"Kundera, Milan",,"=""""","=""""",4,4.02,Faber and Faber,Paperback,371,1992,1967,,2015/12/03,,,read,,,,1,0
148506,The Servile State (Liberty Fund Classics on Liberty),Hilaire Belloc,"Belloc, Hilaire",Robert A. Nisbet,"=""0913966320""","=""9780913966327""",4,3.99,Liberty Fund,Paperback,208,1977,1912,2015/12/03,2015/10/31,,,read,,,,1,0
1934,Little Women,Louisa May Alcott,"Alcott, Louisa May","Marta Fihel, Grzegorz Komerski, Regina Barreca","=""""","=""""",2,4.14,Signet Classics,Paperback,449,2004,1868,,2015/10/23,,,read,,,,1,0
100915,"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,"Lewis, C.S.","Per Svein Paulsen, Tormod Haugen","=""""","=""""",4,4.23,HarperCollins Publishers,Paperback,206,2005,1950,,2015/10/23,,,read,,,,1,0
9649403,La voce a te dovuta: poema,Pedro Salinas,"Salinas, Pedro",Emma Scoles,"=""8806264508""","=""9788806264505""",0,4.34,Einaudi,Paperback,233,1979,1933,,2015/10/23,,,read,,,,1,0
23534,Love Is a Dog from Hell,Charles Bukowski,"Bukowski, Charles",,"=""0876853629""","=""9780876853627""",2,4.01,Ecco (An Imprint of HarperCollinsPublishers),Paperback,312,2003,1977,,2015/10/23,,,read,,,,1,0
109237,Selected Poems,Jorge Luis Borges,"Borges, Jorge Luis",Alexander Coleman,"=""0140587217""","=""9780140587210""",5,4.35,Penguin Books,Paperback,496,2000,1971,,2015/10/23,,,read,,,,1,0
22992,The Selected Poems,Federico García Lorca,"Lorca, Federico García","W.S. Merwin, Donald Merriam Allen","=""0811216225""","=""9780811216227""",5,4.32,New Directions,Paperback,186,2005,1936,,2015/10/23,,,read,,,,1,0
5932,Twenty Love Poems and a Song of Despair,Pablo Neruda,"Neruda, Pablo","W.S. Merwin, Cristina García","=""0143039962""","=""9780143039969""",4,4.23,Penguin Classics,Paperback,60,2006,1924,,2015/10/23,,,read,,,,1,0
41865,"Twilight (The Twilight Saga, #1)",Stephenie Meyer,"Meyer, Stephenie",,"=""0316015849""","=""9780316015844""",1,3.64,"Little, Brown and Company",Paperback,498,2006,2005,,2015/10/23,,,read,,,,1,0
18122,"The Amber Spyglass (His Dark Materials, #3)",Philip Pullman,"Pullman, Philip",,"=""0440238153""","=""9780440238157""",2,4.10,Laurel Leaf,Mass Market Paperback,465,2003,2000,,2015/10/23,,,read,,,,1,0
15881,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""""","=""""",3,4.43,Arthur A. Levine Books,Hardcover,341,1999,1998,,2015/10/23,,,read,,,,1,0
34,"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,"Tolkien, J.R.R.","Francis Ledoux, Maria Skibniewska","=""0618346252""","=""9780618346257""",5,4.38,Houghton Mifflin Harcourt,Paperback,398,2003,1954,,2015/10/23,,,read,,,,1,0
157993,The Little Prince,Antoine de Saint-Exupéry,"Saint-Exupéry, Antoine de",Richard Howard,"=""""","=""""",4,4.32,"Harcourt, Inc.",Paperback,96,2000,1943,,2015/10/23,,,read,,,,1,0
117251,"Hamlet: Screenplay, Introduction And Film Diary",Kenneth Branagh,"Branagh, Kenneth",William Shakespeare,"=""0393315053""","=""9780393315059""",4,4.14,W. W. Norton & Company,Paperback,208,1996,1996,,2015/10/23,,,read,,,,1,0
7624,Lord of the Flies,William Golding,"Golding, William",,"=""0140283331""","=""9780140283334""",5,3.69,Penguin Books ,Paperback,182,1999,1954,,2015/10/23,,,read,,,,1,0
18135,Romeo and Juliet,William Shakespeare,"Shakespeare, William",,"=""""","=""""",4,3.74,Washington Square Press,Mass Market Paperback,281,2002,1597,,2015/10/23,,,read,,,,1,0
7613,Animal Farm,George Orwell,"Orwell, George","Peter Škerl, Κυριάκος Ντελόπουλος, Николай Николов, Celâl Üster, Boris Grabnar, Αύγουστος Κορτώ, Chris Mould, Pau Masiques, Τζωρτζ Όργουελ, Celâl Üstüner, José Manuel Moreno Cidoncha","=""""","=""""",4,3.98,NAL,Paperback,122,2003,1945,,2015/10/23,,,read,,,,1,0
6185,Wuthering Heights,Emily Brontë,"Brontë, Emily","John Bugg, Robert Heindel, Charlotte Brontë, Richard J. Dunn","=""""","=""""",4,3.88,Norton,Paperback,464,2002,1847,,2015/10/23,,,read,,,,1,0
4671,The Great Gatsby,F. Scott Fitzgerald,"Fitzgerald, F. Scott",,"=""""","=""""",5,3.93,Scribner,Paperback,180,1925,1925,,2015/10/23,,,read,,,,1,0
1923820,The Holy Bible: King James Version,Anonymous,"Anonymous, Anonymous",,"=""""","=""""",5,4.43,,Hardcover,1590,2008,1569,,2015/10/23,,,read,,,,1,0
17383917,The Screwtape Letters,C.S. Lewis,"Lewis, C.S.",,"=""0062023179""","=""9780062023179""",4,4.25,HarperOne,Hardcover,223,2013,1942,,2015/10/23,,,read,,,,1,0
11138,Mere Christianity,C.S. Lewis,"Lewis, C.S.",,"=""0684823780""","=""9780684823782""",5,4.35,Touchstone Books,Paperback,191,1996,1942,,2015/10/23,,,read,,,,1,0
